book_id	title	cover_url	rate_avg	rate_no	author_name	author_id
637699	یکی بود و یكی نبود	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550222485i/637699._SX318_.jpg	3.72	943	Mohammad Ali Jamalzadeh	607716
426025	یک گل سرخ برای امیلی	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453192870i/2339774.jpg	4.06	24436	William Faulkner	3535
2529	قصه‌ی جزیره‌ی ناشناخته	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1465914555i/1946523._SX318_.jpg	3.89	7876	José Saramago	1285555
5407	خنداننده شو آموزش گام‌به‌گام استدآپ کمدی	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505302561i/36232620._SY475_.jpg	3.81	187	Judy Carter	3653
7022395	روزگار سپری شده‌ی مردم سالخورده، کتاب سوم: پایان جغد	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527319339i/7022395._SX318_.jpg	4.00	60	Mahmoud Dowlatabadi	8056299
940211	احمق‌های چلم و تاریخ‌شان	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322745294i/13137198.jpg	3.85	242	Isaac Bashevis Singer	14444
13627449	ده فرزند هرگز نداشته‌ خانم مینگ	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358059344i/17236822.jpg	3.72	1653	Éric-Emmanuel Schmitt	2976
123931	روسپی بزرگوار	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1324670466i/2504376.jpg	3.54	1757	Jean-Paul Sartre	1466
455778	مدار صفر درجه	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1338873521i/455778.jpg	3.98	406	Ahmad Mahmoud	6617212
51985	اگزیستانسیالیسم و اصالت بشر	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533137545i/41021700.jpg	3.97	19939	Jean-Paul Sartre	1466
